wallet,type,rarity,score,final_ranking,token_earned
0x6de3f669909c01bb3c97352f6410886ee15efae6,#1L,Legendary,100667700,1,1569750
0x679fc88a5f2d07d4db3301b139eb1b6fa39dc9c5,#8L,Legendary,95598900,2,941850
0x8ef7e5b9755b998c323a445beb5465067c615785,#9L,Legendary,64745376,3,470925
0xf091f1455d7b05971387a84647d7c77d4744251e,#12L,Legendary,64288050,4,470925
0x45909b8acc1ace1ba9910ea7023eeda492ba058c,#11L,Legendary,40115094,5,282555
0x0d26a62fd82665e43028748f187611a0f5f749ce,#7L,Legendary,37343280,6,282555
0x3d00e0cb4ad9c138c9568c3831055e9b5cb5b87f,#14L,Legendary,29184840,7,282555
0x08427c4a5aef439a84e704570396a2461aec080e,#14L,Legendary,24721440,8,282555
0x81f34e9b9835002c43e578fe574c776e33be5855,#1L,Legendary,24090150,9,282555
0xad044a28a38dab3d02254c44e8f403f6e88c03fd,#3L,Legendary,20535330,10,147557
0x9b2066f64b638f1fb0764c445aebabc439c43ca6,#8L,Legendary,20259237,11,147557
0x7774aedc316151280ae0a71e13e9317f9a6aed59,#1L,Legendary,20153106,12,147557
0x9c2cb867a90f564f53b10df11f7d0d9b6de25392,#3L,Legendary,19910874,13,147557
0xfeb7da1823d9375e285ebc9d4083250bd3847c36,#2L,Legendary,19093602,14,147557
0x83fdd6e328ffa5fb665547d7414f0a2c0ad41738,#5L,Legendary,14558634,15,147557
0x8454cb7097a37cc1e6f7985e6415f162fb2547bf,#7L,Legendary,13322280,16,147557
0x19615162481f7a3fdb68e8c9959b831c5b194704,#13L,Legendary,13318488,17,147557
0x344c5b6453f1c8202a5ac7a2aae765d57f181f12,#1L,Legendary,12339624,18,147557
0x4d6aa12ec40fdba02ff891d381ccec0066af619e,#8L,Legendary,11113452,19,147557
0x40305a2270c208f692371fc8d523fc02499cb95c,#4L,Legendary,11003055,20,94185
0x7ecdbfbd61e70ea5fb7ea1d26e53b7499bb484d0,#7L,Legendary,10196802,21,94185
0x9f609ee797ebd60f35ed8cb1774c63260c086e2e,#14L,Legendary,9901032,22,94185
0x546ea1d3b19e86af85d57e078d847df43698e67a,#2L,Legendary,9625086,23,94185
0x60ebad680e3308871b7c9b8f58e66dae003b68a9,#13L,Legendary,9138600,24,94185
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,#4L,Legendary,8907300,25,94185
0x5c546563b26f7d5c7f7f2d6f176bbddb3c95a27d,#15L,Legendary,7544154,26,94185
0xfad4776533db6ab2a962d5b4d9c6643d18c01464,#1L,Legendary,7022505,27,94185
